x1,x2,x3,x4,x5,x6,label
0.1,0.2,0.3,0.4,0.5,0.6,1
0.13423,0.2,0.3,0.4,0.5,0.2,028,95,0,24,1,0,1
25,71,0,21,2,0,1
22,68,0,10,1,0,0
30,92,0,24,1,1,1
18,54,1,43,2,0,0
29,69,0,19,1,1,0
16,49,1,70,1,0,1
26,71,0,12,2,1,1
14,48,1,72,1,0,0
25,63,0,18,2,1,1
24,74,0,7,1,1,0
24,87,0,17,1,1,1
24,70,0,17,1,0,1
12,46,1,27,1,0,1
12,31,1,49,1,0,0
10,30,2,88,0,0,1
20,50,1,66,2,1,1
19,34,1,50,2,1,1
7,29,2,96,1,0,1
8,14,2,83,1,0,0
30,63,0,3,2,2,1
6,14,2,75,0,0,1
6,5,2,93,0,0,1
6,11,2,96,1,0,0
17,59,1,37,1,0,1
29,63,0,6,2,2,1
28,80,0,18,1,2,1
10,10,2,93,1,0,1
4,4,2,93,1,0,1
13,36,1,59,1,1,1
14,45,1,29,2,1,1
12,53,1,52,2,1,1
23,91,0,24,1,2,1
10,14,2,85,1,1,0
10,13,2,90,0,1,1
10,16,2,88,1,1,1
9,21,2,89,1,1,1
20,39,1,56,1,2,0
8,11,2,83,1,1,1
20,60,0,6,1,1,1
5,29,2,76,0,1,1
4,4,2,80,0,1,0
4,5,2,94,1,1,1
3,1,2,89,0,1,1
3,25,2,95,1,1,0
14,35,1,29,2,2,1
14,55,1,32,2,2,1
2,20,2,76,0,1,1
12,42,1,25,1,2,0
23,86,0,17,1,3,1
10,39,1,72,1,2,1
26,90,0,19,2,1,1
13,50,1,60,2,0,0
10,37,1,72,2,2,0
21,81,0,8,1,3,1
20,76,0,6,1,3,1
9,22,2,81,1,0,1
23,82,0,24,2,1,1
6,15,2,77,0,1,1
20,85,0,13,1,2,1
16,50,1,41,2,3,1
27,74,0,7,2,4,1
27,98,0,7,2,0,1
27,73,0,12,2,4,1
23,71,0,21,2,4,1
11,56,1,35,2,3,1
26,65,0,9,2,1,1
17,48,1,64,1,2,1
17,46,1,70,2,2,1
4,24,2,88,1,2,1
22,60,0,20,1,4,1
21,82,0,17,1,4,1
20,85,0,8,1,4,1
27,72,0,22,1,0,1
9,14,2,92,1,1,0
28,77,0,9,1,3,1
20,52,1,25,2,4,1
22,79,0,5,2,0,1
8,7,2,96,1,3,1
25,77,0,17,1,1,1
25,77,0,3,1,1,1
6,23,2,95,1,3,0
17,59,1,69,2,4,1
28,100,0,5,2,5,1
20,44,1,44,2,4,1
4,5,2,94,1,1,1
4,6,2,84,0,3,1
15,44,1,70,1,4,1
12,50,1,52,1,1,1
4,4,2,80,0,0,1
10,7,2,78,0,0,0
3,22,2,78,1,3,1
3,10,2,87,0,3,0
18,60,1,30,1,1,0
23,64,0,10,1,1,0
26,68,0,5,1,5,1
12,34,1,35,1,3,1
26,62,0,17,1,5,0
2,11,2,96,0,3,1
25,68,0,20,2,5,1
1,2,2,72,0,3,1
1,26,2,92,1,3,1
23,60,0,23,1,5,1
21,97,0,21,1,1,1
25,97,0,13,2,4,1
11,36,1,62,2,4,0
22,69,0,18,1,5,1
5,10,2,82,1,2,0
10,51,1,38,2,4,1
10,41,1,51,2,0,0
9,24,2,74,1,0,1
10,5,2,95,0,4,1
30,79,0,20,2,0,1
9,14,2,73,1,4,1
9,22,2,85,0,4,1
20,34,1,42,2,5,0
8,25,2,96,0,4,0
16,38,1,39,2,0,1
24,89,0,21,1,2,1
7,13,2,72,1,4,0
7,16,2,82,0,4,0
24,94,0,18,1,4,1
13,53,1,68,1,3,1
8,18,2,75,0,2,1
30,63,0,21,2,6,1
30,92,0,9,2,6,1
3,15,2,76,0,3,0
24,84,0,6,2,1,1
9,25,2,73,1,4,1
16,53,1,53,1,0,1
18,47,1,54,1,5,0
29,77,0,21,1,6,1
1,25,2,96,0,3,0
17,38,1,42,2,5,1
1,26,2,90,1,2,1
17,42,1,50,2,0,1
16,38,1,57,1,5,0
4,7,2,83,1,4,1
15,33,1,39,1,5,0
19,45,1,56,2,1,1
15,34,1,59,2,5,1
3,29,2,77,0,4,0
14,50,1,31,2,5,0
19,56,1,38,2,4,0
3,23,2,93,0,3,1
27,73,0,4,2,4,1
21,85,0,22,1,4,1
2,27,2,75,1,4,1
24,87,0,17,1,1,0
4,7,2,81,1,4,1
8,6,2,74,0,1,0
2,18,2,85,1,4,0
12,31,1,53,2,4,0
25,63,0,15,2,1,1
13,31,1,25,2,5,1
13,39,1,37,2,5,0
28,95,0,1,2,2,0
15,48,1,48,2,1,1
27,68,0,3,1,2,0
2,2,2,94,1,0,0
9,5,2,79,1,1,1
23,71,0,10,1,2,1
13,58,1,66,1,5,0
1,13,2,73,1,4,1
21,95,0,14,2,5,1
2,28,2,77,1,0,1
1,11,2,81,1,4,1
28,82,0,20,2,3,1
14,42,1,28,1,0,0
9,3,2,77,0,0,0
2,9,2,95,1,3,0
15,30,1,64,1,1,1
1,12,2,93,0,4,0
24,70,0,4,1,6,1
20,99,0,7,2,4,0
27,77,0,3,1,6,0
12,44,1,26,2,5,0
2,7,2,76,1,0,0
22,97,0,7,2,6,0
27,99,0,12,1,6,1
22,87,0,23,1,6,1
10,50,1,25,2,5,1
10,4,2,80,0,5,0
26,65,0,9,2,1,0
14,35,1,29,2,2,0
23,81,0,2,2,2,0
2,6,2,83,0,0,1
3,5,2,78,0,2,1
10,18,2,74,1,5,0
9,26,2,80,1,5,1
10,49,1,53,1,0,1
12,43,1,40,2,5,0
17,33,1,53,1,3,1
22,90,0,20,2,1,0
8,11,2,82,0,0,0
27,66,0,24,2,2,1
14,58,1,29,2,5,0
20,94,0,3,2,1,0
12,30,1,35,1,5,0
29,100,0,9,1,6,0
11,40,1,31,2,2,0
22,87,0,23,1,1,0
20,80,0,0,2,6,0
8,28,2,93,0,0,0
27,80,0,15,1,2,1
17,47,1,29,1,5,0
7,4,2,86,0,5,0
18,47,1,46,1,5,0
2,26,2,80,0,3,0
19,36,1,41,1,0,0
7,23,2,79,1,5,0
29,89,0,4,1,3,0
19,33,1,38,1,6,1
29,86,0,6,1,1,0
1,11,2,81,1,4,1
17,48,1,45,1,6,0
5,15,2,87,0,5,0
27,99,0,12,1,7,0
24,100,0,23,2,3,0
4,6,2,78,1,3,0
8,18,2,75,0,2,0
15,41,1,56,1,6,0
9,4,2,76,1,3,0
3,25,2,73,0,5,0
3,29,2,72,1,5,0
21,76,0,17,2,0,0
13,58,1,45,1,5,0
7,27,2,80,0,1,0
1,20,2,84,0,5,0
16,59,1,29,2,6,0
18,58,1,42,2,5,0
1,30,2,85,1,5,0
24,67,0,9,2,7,1
24,87,0,3,2,7,0
8,7,2,96,1,3,0
10,32,1,25,2,0,0
1,30,2,93,0,1,0
17,53,1,58,1,1,0
5,20,2,75,0,5,0
14,36,1,72,2,6,1
13,48,1,63,2,5,0
24,89,0,22,1,7,0
11,46,1,65,2,0,0
12,59,1,58,1,6,1
11,58,1,27,1,6,0
10,47,1,42,2,6,0
18,44,1,53,1,5,1
10,35,1,71,2,6,0
10,10,2,89,0,6,0
21,80,0,0,1,7,0
8,29,2,82,1,2,0
21,81,0,21,1,7,0
13,46,1,39,1,6,0
20,90,0,0,1,7,1
13,52,1,41,1,4,0
22,79,0,5,2,0,0
12,56,1,71,1,1,1
20,33,1,55,2,7,0
7,5,2,76,0,6,0
8,21,2,74,0,2,0
7,20,2,87,0,6,0
22,66,0,23,1,6,1
18,37,1,60,2,7,0
18,60,1,69,1,7,0
2,13,2,82,0,5,0
6,7,2,87,1,6,0
27,100,0,10,1,4,0
30,69,0,23,2,2,0
6,8,2,96,0,6,0
1,22,2,87,0,4,0
1,28,2,93,0,4,0
3,17,2,81,0,5,0
29,83,0,11,1,8,0
22,97,0,16,1,0,1
19,51,1,36,1,0,1
18,38,1,58,2,0,1
28,98,0,9,2,1,0
27,92,0,3,1,1,1
14,46,1,69,2,0,1
13,59,1,44,1,0,1
24,70,0,13,1,1,0
23,69,0,7,2,1,1
23,92,0,5,1,1,0
23,94,0,6,1,1,0
23,88,0,21,2,1,1
22,70,0,13,1,1,1
22,97,0,10,1,1,1
25,68,0,2,2,1,1
9,3,2,73,1,0,1
8,17,2,84,0,0,1
8,24,2,87,0,0,0
8,8,2,77,0,0,1
30,60,0,12,1,2,1
29,76,0,18,2,2,1
15,37,1,32,2,1,1
3,1,2,83,1,0,1
14,47,1,34,2,1,1
14,48,1,48,1,1,0
13,49,1,41,2,1,1
9,22,2,82,1,1,1
8,5,2,72,1,1,1
19,58,1,65,1,2,1
17,41,1,27,1,2,1
27,73,0,3,1,3,1
15,51,1,47,1,2,1
3,19,2,88,1,1,1
26,92,0,5,2,3,1
25,97,0,14,1,3,0
15,57,1,48,1,0,1
13,38,1,59,2,2,1
23,77,0,15,2,3,1
10,30,1,47,1,2,1
10,23,2,78,0,2,1
10,12,2,88,0,2,1
10,14,2,95,0,2,1
21,99,0,21,2,3,1
9,2,2,77,1,2,1
9,25,2,86,1,2,1
19,40,1,43,1,3,1
28,95,0,21,1,4,1
9,25,2,86,1,2,1
27,65,0,14,1,4,1
2,21,2,82,1,2,0
2,15,2,92,0,2,1
13,42,1,47,1,3,1
29,90,0,9,1,3,0
11,35,1,49,1,3,1
11,58,1,60,2,3,1
23,88,0,21,2,1,0
21,99,0,0,2,4,0
20,99,0,8,1,4,1
30,62,0,21,2,5,1
29,82,0,0,1,5,1
17,41,1,42,1,4,1
9,13,2,83,0,1,1
28,64,0,11,1,5,1
28,78,0,5,1,5,1
21,64,0,21,2,3,1
3,10,2,73,1,0,1
7,21,2,75,1,3,1
27,87,0,14,1,5,1
15,42,1,56,2,4,1
13,46,1,54,2,0,1
25,86,0,1,1,5,1
26,68,0,21,2,2,0
24,63,0,20,2,5,1
28,95,0,21,1,4,1
24,99,0,16,2,5,1
16,36,1,70,2,4,1
11,38,1,24,2,4,1
17,47,1,53,2,4,0
11,40,1,62,1,4,1
11,54,1,64,1,4,1
30,68,0,6,1,0,1
22,83,0,6,2,5,1
15,38,1,31,1,2,1
10,8,2,79,1,4,1
29,96,0,12,2,1,1
9,3,2,75,0,4,0
25,76,0,6,1,4,1
10,40,1,71,1,2,1
25,92,0,20,1,1,1
2,10,2,73,1,3,0
20,64,0,3,2,2,1
9,14,2,86,0,4,1
8,10,2,79,1,4,1
19,50,1,71,2,5,1
29,98,0,18,2,6,1
4,19,2,77,1,4,1
11,44,1,62,2,0,1
28,74,0,9,2,5,0
10,38,1,46,2,1,0
29,88,0,0,1,1,1
14,41,1,42,1,2,1
4,4,2,91,1,4,1
27,60,0,16,1,1,1
22,68,0,5,2,2,1
26,86,0,11,2,6,0
13,60,1,45,1,5,1
1,28,2,76,0,4,1
12,38,1,33,2,5,1
14,40,1,64,1,3,1
19,58,1,65,1,2,1
12,43,1,31,2,5,1
18,38,1,64,2,4,1
8,23,2,93,0,3,0
23,61,0,11,1,6,1
11,43,1,52,2,5,0
10,43,1,36,1,5,0
20,61,0,20,2,2,0
10,12,2,78,1,5,1
30,76,0,17,1,3,1
10,14,2,90,1,5,1
21,82,0,15,1,6,1
9,21,2,74,0,5,1
12,55,1,46,2,3,0
19,36,1,62,1,5,1
20,92,0,3,1,6,1
20,98,0,1,1,6,1
27,88,0,0,2,6,0
16,60,1,31,2,5,0
23,62,0,17,2,3,1
19,60,1,71,2,2,0
14,57,1,71,2,5,1
29,72,0,2,1,2,0
9,18,2,85,0,2,1
18,51,1,27,2,1,1
21,70,0,8,2,4,1
20,35,1,40,1,6,0
23,91,0,4,2,2,1
20,77,0,21,2,6,1
8,26,2,83,1,5,0
7,29,2,92,0,1,1
8,19,2,95,1,5,0
19,59,1,42,2,6,1
19,49,1,66,2,0,0
13,49,1,45,1,1,1
7,12,2,84,1,5,1
4,21,2,96,0,2,0
1,10,2,78,1,1,1
18,58,1,68,1,6,1
10,42,1,56,1,1,0
10,17,2,90,0,1,1
14,47,1,53,1,5,0
22,83,0,6,2,5,0
6,10,2,88,0,5,1
29,64,0,1,2,7,1
